ra226  bi214  1238.1220 2.396383e-03 2.528721e-05 2.528721e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 5.834000e-02 1.500000e-04 4.142061e+00 4.370804e-02
ra226  bi214  1280.9760 2.427494e-03 6.033048e-05 6.033048e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 1.434000e-02 6.000000e-05 1.031338e+00 2.563184e-02
ra226  bi214  1377.6690 2.306474e-03 2.274929e-05 2.274929e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 3.988000e-02 1.100000e-04 2.725196e+00 2.687924e-02
ra226  bi214  1385.3100 2.301746e-03 5.760051e-05 5.760051e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 7.930000e-03 5.000000e-05 5.407848e-01 1.353298e-02
ra226  bi214  1401.5150 2.189177e-03 4.738917e-05 4.738917e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 1.330000e-02 5.000000e-05 8.626337e-01 1.867345e-02
ra226  bi214  1407.9880 2.197116e-03 3.201065e-05 3.201065e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 2.394000e-02 7.000000e-05 1.558371e+00 2.270454e-02
ra226  bi214  1509.2100 2.219170e-03 3.144124e-05 3.144124e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 2.130000e-02 1.000000e-04 1.400438e+00 1.984144e-02
ra226  bi214  1538.5300 2.458868e-03 8.794424e-05 8.794424e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 3.980000e-03 1.100000e-04 2.899427e-01 1.037013e-02
ra226  bi214  1543.3400 1.999601e-03 1.045292e-04 1.045292e-04 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 3.030000e-03 1.000000e-04 1.795064e-01 9.383705e-03
ra226  bi214  1583.2040 2.127491e-03 5.503441e-05 5.503441e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 7.050000e-03 5.000000e-05 4.443761e-01 1.149522e-02
ra226  bi214  1594.7500 1.974975e-03 1.045417e-04 1.045417e-04 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 2.670000e-03 1.200000e-04 1.562308e-01 8.269798e-03
ra226  bi214  1599.3700 1.846211e-03 8.557544e-05 8.557544e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 3.240000e-03 1.200000e-04 1.772231e-01 8.214631e-03
ra226  bi214  1661.2740 1.930485e-03 3.358642e-05 3.358642e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 1.047000e-02 6.000000e-05 5.988348e-01 1.041848e-02
ra226  bi214  1684.0120 2.040966e-03 1.084741e-04 1.084741e-04 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 2.140000e-03 5.000000e-05 1.294027e-01 6.877547e-03
ra226  bi214  1729.5950 2.028118e-03 2.051755e-05 2.051755e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 2.878000e-02 8.000000e-05 1.729330e+00 1.749485e-02
ra226  bi214  1764.4910 1.976575e-03 1.356275e-05 1.356275e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 1.530000e-01 3.000000e-04 8.959808e+00 6.147990e-02
ra226  bi214  1838.3600 1.627795e-03 7.020581e-05 7.020581e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 3.500000e-03 1.000000e-04 1.687958e-01 7.280061e-03
ra226  bi214  1847.4290 1.849135e-03 2.400350e-05 2.400350e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 2.025000e-02 9.000000e-05 1.109398e+00 1.440103e-02
ra226  bi214  1873.1600 1.812783e-03 9.565622e-05 9.565622e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 2.140000e-03 8.000000e-05 1.149353e-01 6.064862e-03
ra226  bi214  2118.5140 1.812399e-03 2.929725e-05 2.929725e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 1.160000e-02 6.000000e-05 6.228820e-01 1.006882e-02
ra226  bi214  2204.0590 1.597864e-03 1.755219e-05 1.755219e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 4.924000e-02 1.800000e-04 2.331051e+00 2.560609e-02
ra226  bi214  2293.3800 1.419855e-03 5.093922e-05 5.093922e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 3.070000e-03 3.000000e-05 1.291446e-01 4.633237e-03
ra226  bi214  2447.7000 1.472974e-03 3.273405e-05 3.273405e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 1.548000e-02 7.000000e-05 6.755540e-01 1.501290e-02
ra226  pb210  46.5390 1.425805e-04 4.471737e-05 4.471737e-05 2.962743e+04 4.444114e+02 4.453880e+02 4.436976e+02 4.250000e-02 4.000000e-04 1.795325e-01 5.630657e-02
